1, Shanghai is also really exciting (precisely -- skyscrapers galore). Good tweeps in China:  (SH)  (BJ).,1
2,"Recession hit Veronique Branquinho, she has to quit her company, such a shame!",0
3, happy bday!,1
4, http://twitpic.com/4w75p - I like it!!,1
10,My bike was put on hold...should have known that.... argh total bummer,0
13,"I`m in VA for the weekend, my youngest son turns 2 tomorrow......it makes me kinda sad, he is getting so big, check out my twipics",0
14,Its coming out the socket  I feel like my phones hole is not a virgin. That`s how loose it is... :`(,0
15,"So hot today =_=  don`t like it and i hate my new timetable, having such a bad week",0
16, Miss you,0
17,Cramps . . .,0
18, you guys didn`t say hi or answer my questions yesterday  but nice songs.,1
20,Stupid storm. No river for us tonight,0
21,My dead grandpa pays more attention to me than you do,0
22,"... need retail therapy, bad. AHHH.....gimme money geebus",0
25, thats so cool,1
28, look who I found just for you  --->  http://twitter.com/DJT2009,1
29,"No AC, the fan doesnt swing our way ... we are sweating it out on a hot humid day",0
35,Watching Body of Lies...good film,1
36,Happy mothers day mumm  xoxo,1
39,"feels sorry every time I`m printing out, I use like 200 new papers",0
40, 4n? ma rog  never heard of it  esti beat acum? u tweet too much,0
44," Hi there.  I agree!  Small children should be running about happy, not breaking down in tears",1
47,thinks SG is wonderful,1
48,  im really sorry i know wallah how u feel this life is shittttttttt,0
49,Not happy,0
52,I`m so very tired...and have insomnia.,0
53, Thanks Ennio,1
55," You seem nice, you`re generous and you know your stuff",1
65,I just cried whilst watching hollyoaks  .. i need a life! lol,0
66,"Hi all, just recovering from a party, looking forward to an exciting bank holiday around the diy shops...life cant get much better.surely",1
70,"On the monday, so i wont be able to be with you!  i love you",1
71," Ur so cute..I`m a fan of Dream A Little Dream, This Kiss and appearances like in Dawson`s Creek  Make more flicks!",1
74,_LaMont yr very young looking dude,1
76,AT&T cheated the system and now I have no Green Day tickets  **** you AT&T!,0
78," yep, i wish they were all playing dubiln",1
80, Yay for Block Party!  You`re the BOMB! Blockheads <3 Dave!   Thanks for supporting NKOTB!,1
84, Thank you!  I`m working on `s,1
90,The underwire in my bra is sticking out and poking me in the armpit,0
91,Happy Mothers Day!!!,1
94,Happy star wars day! May the fourth be with you,1
96,i just watched Marley & Me...i cried so hard!,0
102,"Just had a great study time followed by a delicious Japanese meal with Arty! Now, trying to get back into the study mood",1
103,FML not having a car is prohibiting finding a job,0
109, yeah i need his fricken cell number ive tried his home for months and hes too busy. i miss braddddddddd,0
113, yay about breaking 200!,1
114, bahah sadly I am not,0
115, i always have those for my Champions League parties  Tis awesome,1
116," well, not all. just stay away from those kinds and surround yourself with those who don`t. happy mother`s day to ur mom, treiz!",1
118, thats rough. hubby had knee surgery but it did help him in the end. Let us know the results. We`ll keep him in our prayers,0
120,"Playin City of Villains, wishin my buddies were playin with me.....",1
124, I liked it.  Did you record it yourself?  If so you have a very soothing voice.,1
126," Folks thought it was hilarious when I told them the story, and then they saw the shirt I wore tonight.  Laughter all night.",1
127, you`re the absoute best,1
130, Welcome!,1
134,"just got home from a nice party, just not tired yet",1
135,Now I have a sunburn,0
136,I have the Job  this is a nice day it can not be better,1
139, love your books,1
140,ok so this eye doctor guy is taking forever and i`m sitting in a cold room by myself...what? A jerk!,0
142, well thank your phone for me.,1
143, why would they take a photo with stuffed animals?! that`s pretty funny,1
145,tikcets are only ï¿½91...each...BUT I SO WANT TO GO,1
146, Happy Mothers Day,1
147, It`s gonna be hot here today too. today is Ryan`s last day of pre-k. I can`t believe it!  I`ve been a SAHM since I had him!,0
149,"Oh, **** me. I`ve just returned from the Supermarket Of Doom to find that I have nothing to drink here.",0
151,"D-group Saturday`s, with a little bit of football, an hour nap, 3 hours of soccer, basketball in the TSU and Yogurtland... Life`s Good",1
153,Ahhh my mommie got me new sheets for my bed  so comfy,1
156,is pretty dang tired. but chambers class is for napping.,0
157,i have to poop...   is hogging the shitter,0
159,Happy muthath`s day to all moms!!! I salute you!,1
160,Hahaha! Alright  ..,1
161, Aren`t you suppossed to support the local economy ... LOL ... good for you and congrats,1
166," E.L.O.  wow, brings back so many happy memories.  LOVE this band!..and yes, I know I`m showing my age but I don`t care",1
167, that`s a very cute picture ... but you don`t get fat from licking BBQs ... he must have found some chops on someone else`s ...,1
174,Twitter has spoiled all the fun. Frustratingly slow!!  couldnt even bid properly!,0
175,_chick haha. I completely agree,1
178,Going to bed after a great night with a friend  glad to know she has the same feelings about classes as someone else,1
180,it`s nice to leave the office when the sun is still up,1
181,I will miss the soccer moms,0
188, Sadly I think I know exactly were you put it--in the expired drawer   Those things have a life span of less than two years,0
189," Too much? No, not unless one of the pillows ends up suffocating the one sleeping next to you.",0
